id,evaluated_activity_id,course_id,weight,type_Q1,type_Q2,type_Q3,sous_course_ids,teachers_ids
236,5eilw5C,5eilw50,100,E écrit,,E écrit,LW5T-T1-2020; LW5T-T2-2023,e3v
237,5eisd5L,5eisd50,50,C évaluation continue,,,SD5T-L1-2021,fky
238,5eisd5T,5eisd50,50,T écrit + évaluation continue,,E écrit,SD5T-T1-2021,n3s
239,5matf5X,5eitf50,100,,F écrit + oral + évaluation continue,D écrit + oral,TF5B-B1-2024,lah; bor; dlh-2; hnr; lur; otj; rch; vml
240,2bsis2C,2bsis20,60,,T écrit + évaluation continue,E écrit,IS2L-L1-2024; IS2L-L2-2024; IS2L-L3-2024; IS2T-T1-2024; RP2C-L1-2022; RP2T-T1-2022,mrf
241,2bsis2U,2bsis20,40,,E écrit,E écrit,TO2T-T1-2016,bch
242,2bsps2B,2bsps20,100,,C évaluation continue,,PS2B-B1-2019; PS2B-B2-2024; PS2B-B3-2024,sbr; ah5
243,3bsae3B,3bsae30,30,,C évaluation continue,,AE3C-B1-2019,a2m
244,3bsae3L,3bsae30,70,,E écrit,E écrit,AE3C-L1-2019; AE3C-T1-2019,a2m
245,3bsan3B,3bsan30,40,C évaluation continue,,,AN3C-B1-2019,sbr
246,3bsan3C,3bsan30,60,E écrit,,E écrit,AN3C-T1-2019,sbr
247,3bsau3C,3bsau30,100,,Q oral + évaluation continue,O oral,AU3C-L1-2022; AU3C-T1-2022,dbr
248,3bsbc3C,3bsbc30,70,E écrit,,E écrit,BC3C-T1-2019,bor
249,3bsbc3L,3bsbc30,30,C évaluation continue,,,BC3C-L1-2019,bor
250,3bsbm3C,3bsbm30,100,Q oral + évaluation continue,,O oral,BM3C-B1-2024; BM3C-B2-2024; BM3C-B3-2024; BM3C-L1-2019; BM3C-T1-2019; BM3C-T2-2023,spr; hnt
251,4emeo4C,3bsei30,100,T écrit + évaluation continue,,E écrit,EN3C-T2-2017; EO4L-L1-2016,fle
252,3bsmd3C,3bsmd30,100,O oral,,O oral,CM4T-T2-2025; MD3T-T1-2019; MD3T-T2-2019; MD3T-T3-2023; MD3T-T4-2025,crt; bch; mrf
253,3bsqs3B,3bsrs30,50,,O oral,O oral,QS3B-B1-2019,crt
254,3bsrs3C,3bsrs30,50,C évaluation continue,,,RS3C-L1-2019,brg; jfd
255,4isad4T,4isad40,100,,O oral,O oral,AD4T-T1-2019,bor
256,4ises4T,4isgs40,50,,O oral,O oral,ES4T-T1-2019,brk
257,4mags4T,4isgs40,50,O oral,,O oral,GS4T-T1-2016,mlt
258,4ishm4C,4ishm40,65,C évaluation continue,,,HM4C-L1-2020,auv
259,4ishm4T,4ishm40,35,E écrit,,E écrit,HM4C-T1-2020,auv
260,4ismd4B,4ismd40,100,C évaluation continue,,,MD4C-B1-2019; MD4C-B3-2024,crt; c5c
261,4isme4L,4isme40,100,,C évaluation continue,,ME4L-L1-2021,auv
262,4ismi4C,4ismi40,25,E écrit,,E écrit,MI4C-T1-2019,auv
263,4ismi4L,4ismi40,50,C évaluation continue,,,MI4C-L1-2019,auv
264,4ismi4T,4ismi40,25,O oral,,O oral,MI4C-T2-2019,
265,4ismr4L,4ismr40,30,,C évaluation continue,,MR4C-L1-2025,bor
266,4ismr4T,4ismr40,70,,E écrit,E écrit,MR4C-T1-2025,bor
267,4isnu4B,4isnu40,75,C évaluation continue,,,NU4C-B1-2024; NU4C-B2-2021,mrf; bor
268,4isnu4C,4isnu40,25,E écrit,,E écrit,NU4C-T1-2019,mrf
269,4ispm4B,4ispm40,100,,C évaluation continue,,PM4B-B1-2019; PM4B-B2; PM4B-B3; PM4B-B4; PM4B-B5-2024,bor; auv; mrf
270,4isrm4C,4isrm40,100,,Q oral + évaluation continue,O oral,RM4C-B1-2024; RM4C-T1-2019; RM4C-T2-2024,d5b; b5c
271,4issg4C,4issg40,100,C évaluation continue,,,SG4B-B1,lah
272,5iscc5T,5isce50,20,E écrit,,E écrit,CE5C-T2-2020,auv
273,5isce5B,5isce50,45,C évaluation continue,,,CE5C-B1-2020,d5b
274,5isce5T,5isce50,35,O oral,,O oral,CE5C-T1-2020,d5b
275,5iseh5B,5ishe50,50,C évaluation continue,,,EH5C-B1-2020,auv
276,5iseh5T,5ishe50,50,E écrit,,E écrit,EH5C-T1-2020,auv
277,5isod5T,5isod50,100,Q oral + évaluation continue,,O oral,OD5T-T1-2025,bor
278,5ispm5B,5ispm50,100,C évaluation continue,,,PM5C-B1-2020; PM5C-B2-2024; PM5C-B3-2024; PM5C-B4-2024; PM5C-B5-2024,bor; auv; mrf
279,5masg5X,5issg50,100,,C évaluation continue,,IN5B-B1,lah
280,5matf5X,5istf50,100,,F écrit + oral + évaluation continue,D écrit + oral,MT5B-B5; MT5C-B1-2024; MT5C-B2-2024; MT5C-B3-2024; MT5C-B4-2024,lah; bor; dlh-2; hnr; lur; otj; rch; vml
